日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150703,00400A,主動國泰動能高息,39995876,606159398,14.87,15.38,14.86,15.3,0.13,8138,0.8569545154911009
1150703,00401A,主動摩根台灣鑫收,1838323,25340909,13.78,13.86,13.64,13.86,0.08,581,0.5805515239477503
1150703,00402A,主動安聯美國科技,7213438,70855006,9.78,9.86,9.74,9.84,-0.12,2174,-1.2048192771084338
1150703,00403A,主動統一升級50,208593027,2301307221,10.94,11.18,10.84,11.14,0.0,34304,0.0
1150703,00404A,主動聯博動能50,7661663,78298174,10.13,10.3,10.08,10.27,0.02,1042,0.1951219512195122
1150703,00405A,主動富邦台灣龍耀,57787872,543083664,9.34,9.48,9.25,9.44,-0.01,8919,-0.10582010582010583
1150703,00406A,主動中信台灣收益,20438763,212665007,10.34,10.52,10.2,10.48,0.07,2611,0.6724303554274736
1150703,00407A,主動凱基台灣,86125609,860916872,9.91,10.08,9.83,10.02,0.01,11996,0.0999000999000999
1150703,0050,元大台灣50,82436126,8857083457,106.15,108.8,106.1,108.35,-0.45,108187,-0.4136029411764706
1150703,0051,元大中型100,67182,10001091,147.85,149.5,147.85,149.35,1.0,717,0.6740815638692282
1150703,0052,富邦科技,29828434,1880478748,62.5,63.85,62.4,63.55,-0.55,17392,-0.8580343213728551
1150703,0053,元大電子,23519,5779623,244.1,248.55,243.25,247.4,-1.1,1588,-0.44265593561368216
1150703,0055,元大MSCI金融,432231,17865633,41.15,41.89,40.53,41.54,0.36,554,0.8742107819329772
1150703,0056,元大高股息,33981422,1791508958,52.1,52.95,52.1,52.85,0.25,23157,0.4752851711026616
1150703,0057,富邦摩台,8742,2794239,318.35,322.6,318.35,322.6,0.95,181,0.2953520907819058
1150703,0061,元大寶滬深,252793,6371898,24.98,25.44,24.77,25.27,0.24,204,0.9588493807431082
1150703,006203,元大MSCI台灣,5542,1086811,195.55,197.95,195.25,197.95,-0.65,116,-0.3272910372608258
1150703,006204,永豐臺灣加權,10512,2456623,233.5,236.25,233.5,236.25,4.05,114,1.744186046511628
1150703,006205,富邦上証,890209,36964051,40.87,41.75,40.87,41.44,0.16,600,0.3875968992248062
1150703,006206,元大上證50,66111,2473266,37.32,37.8,37.12,37.47,0.12,129,0.321285140562249
1150703,006207,復華滬深,282692,9592143,33.44,34.05,33.44,33.83,0.2,165,0.5947071067499258
1150703,006208,富邦台50,3068760,765090531,246.05,252.2,245.95,251.35,-0.95,12930,-0.3765358699960365
1150703,00625K,富邦上証+R,0,0,0.0,0.0,0.0,0.0,0.0,0,
1150703,00631L,元大台灣50正2,264692695,10062239734,37.53,39.05,37.19,38.8,-0.08,88862,-0.205761316872428
1150703,00632R,元大台灣50反1,143173234,1431380529,10.06,10.13,9.87,9.88,-0.02,12807,-0.20202020202020202
1150703,00633L,富邦上証正2,3644038,178515140,48.45,50.3,48.0,49.64,0.72,1027,1.4717906786590351
1150703,00634R,富邦上証反1,598898,1868581,3.14,3.16,3.09,3.1,-0.03,40,-0.9584664536741214
1150703,00635U,期元大S&P黃金,7548956,329025289,43.19,43.72,43.19,43.6,1.29,4739,3.0489246041125027
1150703,00636,國泰中國A50,314767,8832949,28.46,28.46,27.86,28.23,0.16,232,0.5700035625222657
1150703,00636K,國泰中國A50+U,200,1782,8.91,8.91,8.91,8.91,-0.03,2,-0.33557046979865773
1150703,00637L,元大滬深300正2,27358045,554871543,20.12,20.84,19.87,20.55,0.37,4060,1.8334985133795838
1150703,00638R,元大滬深300反1,219500,1470435,6.77,6.81,6.65,6.69,-0.05,39,-0.741839762611276
1150703,00639,富邦深100,451071,8178807,18.07,18.41,17.9,18.26,0.16,271,0.883977900552486
1150703,00640L,富邦日本正2,106903,11397060,104.9,107.3,104.85,106.9,0.5,108,0.4699248120300752
1150703,00641R,富邦日本反1,1187020,4449724,3.8,3.8,3.74,3.74,-0.02,88,-0.5319148936170213
1150703,00642U,期元大S&P石油,1756362,39478192,22.33,22.6,22.33,22.59,0.4,681,1.8026137899954935
1150703,00643,群益深証中小,2852096,58111928,20.14,20.55,19.91,20.4,0.26,236,1.290963257199603
1150703,00643K,群益深証中小+R,23000,99080,4.28,4.37,4.28,4.37,0.03,23,0.6912442396313364
1150703,00645,富邦日本,96948,5552893,56.75,57.45,56.75,57.45,0.3,266,0.5249343832020996
1150703,00646,元大S&P500,2505669,188304530,75.0,75.25,74.95,75.2,0.2,2870,0.2666666666666667
1150703,00647L,元大S&P500正2,30468,4090811,133.95,134.5,133.95,134.5,0.45,65,0.3356956359567326
1150703,00648R,元大S&P500反1,1660000,6671290,4.02,4.02,4.01,4.02,0.01,65,0.2493765586034913
1150703,00650L,復華香港正2,5578272,81271324,14.13,14.75,14.13,14.48,0.29,918,2.0436927413671597
1150703,00651R,復華香港反1,318459,1798022,5.62,5.67,5.6,5.67,-0.05,41,-0.8741258741258742
1150703,00652,富邦印度,871338,29161554,33.35,33.53,33.35,33.48,0.25,356,0.7523322299127295
1150703,00653L,富邦印度正2,309786,14779732,47.28,47.83,47.28,47.78,1.03,157,2.2032085561497325
1150703,00654R,富邦印度反1,133000,889920,6.7,6.7,6.66,6.66,-0.1,10,-1.4792899408284024
1150703,00655L,國泰中國A50正2,1530931,52316561,33.86,35.0,33.28,34.44,0.58,504,1.7129356172474897
1150703,00656R,國泰中國A50反1,85400,506915,6.0,6.01,5.87,5.9,-0.05,22,-0.8403361344537815
1150703,00657,國泰日經225,157029,12687822,79.85,81.45,79.85,81.25,0.3,117,0.3705991352686843
1150703,00657K,國泰日經225+U,200,5100,25.5,25.5,25.5,25.5,0.12,2,0.4728132387706856
1150703,00660,元大歐洲50,11133,519224,46.52,46.8,46.52,46.8,0.84,93,1.8276762402088773
1150703,00661,元大日經225,68574,6119084,88.6,90.0,88.6,89.65,0.0,197,0.0
1150703,00662,富邦NASDAQ,2271309,275183624,120.7,121.6,120.4,121.55,-0.65,3875,-0.5319148936170213
1150703,00663L,國泰臺灣加權正2,12855980,1416802308,107.85,113.3,107.6,112.8,0.3,4983,0.26666666666666666
1150703,00664R,國泰臺灣加權反1,17556294,28348724,1.63,1.64,1.59,1.6,0.0,722,0.0
