證券代號,證券名稱,收盤價,漲跌幅%,漲跌金額,最高價,最低價,成交股數,成交金額,類別
0050,元大台灣50,106.05,-0.14,-0.15,106.6,105.05,96508356,10207933035,核心自選股
2317,鴻海,237.5,0.21,0.5,240.5,234.0,37857126,8943527931,核心自選股
2330,台積電,2465.0,1.02,25.0,2465.0,2420.0,24944357,60988916365,核心自選股
2399,映泰,48.65,-1.72,-0.85,50.3,47.85,7025166,341688987,核心自選股
2421,建準,143.5,-0.35,-0.5,147.0,141.5,1531111,219489143,核心自選股
2454,聯發科,3995.0,-0.87,-35.0,4040.0,3955.0,6646730,26526014980,核心自選股
2486,一詮,241.5,-0.21,-0.5,245.0,233.0,3981333,952221273,核心自選股
3017,奇鋐,2325.0,-5.1,-125.0,2440.0,2290.0,4441500,10430098105,核心自選股
3481,群創,65.2,1.56,1.0,66.7,62.4,416258130,26909924773,核心自選股
3653,健策,3200.0,0.16,5.0,3340.0,3120.0,749763,2407972765,核心自選股
6691,洋基工程,715.0,-1.79,-13.0,736.0,685.0,1396321,983096505,核心自選股
8210,勤誠,1195.0,1.7,20.0,1240.0,1175.0,1052123,1260937140,核心自選股
2465,麗臺,81.4,10.0,7.4,81.4,73.1,2538224,200674325,價格異常
6969,成信實業*-創,27.5,10.0,2.5,27.5,25.15,195794,5281496,價格異常
8442,威宏-KY,46.25,9.99,4.2,46.25,43.35,319336,14614631,價格異常
6573,虹揚-KY,27.55,9.98,2.5,27.55,23.4,2757885,72264635,價格異常
6142,友勁,10.25,9.98,0.93,10.25,9.23,3575059,36177870,價格異常
2395,研華,546.0,9.97,49.5,546.0,533.0,8005111,4367525614,價格異常
6525,捷敏-KY,199.0,-9.95,-22.0,221.0,199.0,12889696,2630500627,價格異常
2467,志聖,552.0,-9.95,-61.0,625.0,552.0,3439277,1959059034,價格異常
2424,隴華,10.5,9.95,0.95,10.5,10.2,465927,4873103,價格異常
2243,宏旭-KY,53.5,-9.93,-5.9,55.3,53.5,1747002,94038798,價格異常
1314,中石化,9.7,-0.72,-0.07,10.7,9.7,304364070,3120432120,成交量異常
2409,友達,29.55,0.68,0.2,30.3,28.5,263664460,7750962170,成交量異常
2344,華邦電,168.5,-3.16,-5.5,181.5,165.0,146196884,24801801543,成交量異常
6770,力積電,71.2,1.57,1.1,71.5,67.1,139218171,9720032881,成交量異常
2618,長榮航,39.85,0.0,0.0,41.95,39.2,110711525,4414710834,成交量異常
1409,新纖,29.25,-7.73,-2.45,32.9,28.9,106097309,3229317209,成交量異常
1303,南亞,182.0,0.0,0.0,182.0,164.5,98771745,17666435393,成交量異常
2303,聯電,163.0,0.0,0.0,163.0,149.0,83083303,13032404490,成交量異常
2887,台新新光金,35.85,2.72,0.95,36.0,35.2,77134233,2751204366,成交量異常
3026,禾伸堂,953.0,9.92,86.0,953.0,827.0,20931649,19162490658,熱度潛力股
8046,南電,1105.0,7.28,75.0,1130.0,1020.0,19818557,21691907260,熱度潛力股
2395,研華,546.0,9.97,49.5,546.0,533.0,8005111,4367525614,熱度潛力股
3189,景碩,755.0,9.9,68.0,755.0,714.0,4336069,3220098378,熱度潛力股
2484,希華,92.3,5.97,5.2,95.8,88.5,67045035,6277654064,熱度潛力股
3035,智原,216.0,8.54,17.0,218.5,210.0,11637498,2502399264,熱度潛力股
2379,瑞昱,817.0,5.28,41.0,845.0,798.0,6821201,5575665141,熱度潛力股
3532,台勝科,409.5,6.92,26.5,420.0,375.5,6900168,2765223915,熱度潛力股
8033,雷虎,227.5,9.9,20.5,227.5,213.0,7654968,1706428292,熱度潛力股
2645,長榮航太,235.5,9.79,21.0,235.5,221.5,7446021,1712591731,熱度潛力股
