日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150706,00400A,主動國泰動能高息,68129433,1030726137,15.47,15.5,14.91,15.0,-0.3,17277,-1.9607843137254901
1150706,00401A,主動摩根台灣鑫收,4718526,65156081,13.87,14.05,13.66,13.72,-0.14,809,-1.0101010101010102
1150706,00402A,主動安聯美國科技,7528548,73765377,9.83,9.84,9.77,9.8,-0.04,2236,-0.40650406504065045
1150706,00403A,主動統一升級50,238256447,2628209710,11.24,11.26,10.88,10.93,-0.21,50108,-1.8850987432675044
1150706,00404A,主動聯博動能50,13289785,137088648,10.35,10.41,10.19,10.26,-0.01,1461,-0.09737098344693282
1150706,00405A,主動富邦台灣龍耀,107022109,991997216,9.51,9.54,9.11,9.15,-0.29,21413,-3.0720338983050843
1150706,00406A,主動中信台灣收益,17193077,177313613,10.55,10.57,10.17,10.23,-0.25,4257,-2.3854961832061066
1150706,00407A,主動凱基台灣,164235969,1627123822,10.1,10.11,9.79,9.85,-0.17,27425,-1.6966067864271457
1150706,0050,元大台灣50,75784190,8237066196,109.05,109.6,107.7,108.25,-0.1,115863,-0.09229349330872175
1150706,0051,元大中型100,69132,10394987,150.5,151.6,149.3,149.5,0.15,831,0.1004352192835621
1150706,0052,富邦科技,16521834,1054291586,63.95,64.4,63.2,63.55,0.0,14700,0.0
1150706,0053,元大電子,69924,17259572,247.45,249.25,245.5,246.55,-0.85,2174,-0.34357316087308004
1150706,0055,元大MSCI金融,382359,16073313,41.54,42.17,41.54,42.09,0.55,607,1.3240250361097736
1150706,0056,元大高股息,55408378,2965784412,53.4,53.95,53.1,53.25,0.4,34242,0.7568590350047304
1150706,0057,富邦摩台,8478,2726082,323.45,323.7,322.45,322.45,-0.15,447,-0.04649721016738996
1150706,0061,元大寶滬深,545250,13797318,25.27,25.47,25.12,25.22,-0.05,251,-0.19786307874950534
1150706,006203,元大MSCI台灣,51362,10123471,198.5,199.05,196.4,196.65,-1.3,126,-0.6567314978529932
1150706,006204,永豐臺灣加權,7212,1703265,236.25,236.9,234.8,234.8,-1.45,114,-0.6137566137566137
1150706,006205,富邦上証,316679,13201313,41.66,41.92,41.42,41.73,0.29,277,0.6998069498069498
1150706,006206,元大上證50,33647,1275987,38.0,38.0,37.48,37.95,0.48,240,1.2810248198558845
1150706,006207,復華滬深,490355,16605489,33.82,34.02,33.6,33.86,0.03,184,0.08867868755542418
1150706,006208,富邦台50,4129918,1042850904,252.95,254.05,250.4,251.35,0.0,13629,0.0
1150706,00625K,富邦上証+R,0,0,0.0,0.0,0.0,0.0,0.0,0,
1150706,00631L,元大台灣50正2,237352697,9278629838,39.4,39.76,38.38,38.75,-0.05,72928,-0.1288659793814433
1150706,00632R,元大台灣50反1,81776764,808350371,9.83,9.98,9.8,9.92,0.04,8687,0.4048582995951417
1150706,00633L,富邦上証正2,3509057,173711168,49.64,50.15,48.86,49.73,0.09,802,0.18130539887187752
1150706,00634R,富邦上証反1,491000,1530000,3.12,3.13,3.1,3.11,0.01,20,0.3225806451612903
1150706,00635U,期元大S&P黃金,5320148,232104648,43.98,44.0,43.34,43.35,-0.25,4087,-0.5733944954128439
1150706,00636,國泰中國A50,428732,12101103,28.23,28.44,28.06,28.29,0.06,275,0.21253985122210414
1150706,00636K,國泰中國A50+U,200,1778,8.89,8.89,8.89,8.89,-0.02,2,-0.22446689113355783
1150706,00637L,元大滬深300正2,27290299,559860201,20.56,20.75,20.23,20.61,0.06,3127,0.291970802919708
1150706,00638R,元大滬深300反1,285000,1909560,6.69,6.75,6.68,6.7,0.01,19,0.14947683109118087
1150706,00639,富邦深100,914081,16569661,18.25,18.34,17.88,18.1,-0.16,400,-0.8762322015334063
1150706,00640L,富邦日本正2,99213,10739975,108.45,108.8,107.65,108.5,1.6,114,1.4967259120673526
1150706,00641R,富邦日本反1,1281174,4777436,3.72,3.75,3.72,3.72,-0.02,95,-0.53475935828877
1150706,00642U,期元大S&P石油,1193501,26777863,22.34,22.6,22.34,22.48,-0.11,546,-0.4869411243913236
