代號,名稱,主旨,日期,時間
1721,三晃,"公告本公司名稱由「三晃股份有限公司」更名為
「國慶科技股份有限公司」
，公告期間：115年07月01日至115年9月30日。",1150710,70003
3708,上緯投控,"公告本公司名稱由「上緯國際投資控股股份有限公司」更名為
「上緯國際控股股份有限公司」，公告期間：115年6月11日至
115年9月10日。",1150710,70003
6951,青新-創,公告因巴威颱風來襲，可能影響本公司現金股利發放事宜,1150710,115655
1303,南亞,公告本公司2026年6月合併營業額,1150710,133011
1303,南亞,公告本公司2026年第2季自結合併損益,1150710,133041
8464,億豐,公告本公司一年內累積投資Norman Vietnam達新台幣三億元以上,1150710,133701
2412,中華電,"公告本公司投資Catalight Capital GP, L.P.",1150710,133729
2637,慧洋-KY,"公告本公司原訂115年7月13日發放現金股利，如受颱風影響
致票交所及金融機構作業日程需順延，現金股利發放日將延期至
下一營業日",1150710,134158
2482,連宇,公告本公司董事長決議現金股利分派除息基準日,1150710,135356
2845,遠東銀,公佈本公司115年6月份自結合併淨利及每股盈餘,1150710,135444
4557,永新-KY,"公告本公司原訂115年7月9日至7月13日使用電子投票或視訊
方式之股東領取紀念品，如因颱風停班影響，發放日將順延至下
一個營業日",1150710,135453
2890,永豐金,永豐金控代子公司永豐銀行公告114年度股利配發基準日,1150710,140004
2069,運錩,公告因巴威颱風來襲，可能影響本公司現金股利發放事宜,1150710,140146
2313,華通,代子公司華通電腦(重慶)有限公司公告購買機器設備,1150710,140515
8454,富邦媒,"公告本公司原訂115年07月13日發放現金股利，
如因受颱風停班影響，現金股利發放日將順延至
下一營業日",1150710,140536
